

############################ Log - Start ############################
# Log initialized at: 10/21/13 16:48:19
Time	Real temperature	Average temperature	Setpoint temperature
# Log initialized at: 10/21/13 18:17:47
Time	Real temperature	Average temperature	Setpoint temperature
0.000	21.000	21.000	20.000
1.176	20.900	20.950	20.000
2.245	20.900	20.925	20.000
3.323	20.900	20.917	20.000
4.362	20.800	20.913	20.000

# Log finished at: 10/21/13 18:17:52
############################ Log - End ############################

############################ Log - Start ############################
# Log initialized at: 10/21/13 18:18:10
Time	Real temperature	Average temperature	Setpoint temperature
0.000	20.800	20.800	20.000
1.198	20.800	20.800	20.000
2.229	20.700	20.775	20.000
3.315	20.700	20.750	20.000
4.356	20.800	20.750	20.000
5.496	20.700	20.750	20.000
6.672	20.600	20.725	20.000
7.705	20.500	20.708	20.000

# Log finished at: 10/21/13 18:18:18
############################ Log - End ############################

############################ Log - Start ############################
# Log initialized at: 10/21/13 18:18:21
Time	Real temperature	Average temperature	Setpoint temperature
0.000	20.600	20.600	20.000
1.173	20.600	20.600	20.000
2.211	20.700	20.575	20.000

# Log finished at: 10/21/13 18:18:25
############################ Log - End ############################

############################ Log - Start ############################
# Log initialized at: 10/21/13 18:19:15
Time	Real temperature	Average temperature	Setpoint temperature
0.000	20.300	20.300	20.000
1.133	20.300	20.300	20.000
2.175	20.200	20.275	20.000
3.241	20.300	20.283	20.000
4.357	20.200	20.275	20.000
5.390	20.200	20.260	20.000
6.477	20.300	20.264	20.000
7.557	20.200	20.262	20.000
8.618	20.200	20.253	20.000

# Log finished at: 10/21/13 18:19:24
############################ Log - End ############################

############################ Log - Start ############################
# Log initialized at: 10/21/13 18:19:56
Time	Real temperature	Average temperature	Setpoint temperature
0.000	20.100	20.100	20.000
1.161	20.100	20.100	20.000
2.253	20.100	20.100	20.000
3.335	20.100	20.100	20.000
4.407	20.200	20.112	20.000
5.438	20.200	20.130	20.000
6.598	20.100	20.133	20.000
7.630	20.100	20.131	20.000
8.755	20.100	20.120	20.000
9.840	20.100	20.118	20.000
10.884	20.000	20.105	20.000
12.003	20.000	20.095	20.000
13.036	20.000	20.083	20.000
14.114	20.200	20.092	20.000
15.161	20.200	20.096	20.000
16.247	20.100	20.096	20.000
17.279	20.000	20.093	20.000
18.311	20.100	20.091	20.000
19.404	20.000	20.088	20.000
20.448	20.200	20.091	20.000
21.549	20.100	20.092	20.000
22.588	20.100	20.092	20.000
23.626	20.100	20.093	20.000
24.786	20.100	20.095	20.000
25.833	20.000	20.091	20.000
26.891	20.100	20.089	20.000
28.024	20.000	20.088	20.000
29.089	20.000	20.086	20.000
30.185	20.100	20.087	20.000
31.256	20.000	20.083	20.000
32.287	19.900	20.077	20.000
33.383	20.100	20.076	20.000
34.427	20.100	20.076	20.000
35.554	20.100	20.077	21.000
36.609	20.100	20.077	21.000
37.659	20.100	20.078	21.000
38.756	20.000	20.075	21.000
39.799	20.000	20.072	21.000
40.856	20.000	20.065	21.000
41.901	19.800	20.055	21.000
42.933	19.800	20.047	21.000
44.014	20.000	20.042	21.000
45.059	20.000	20.040	21.000
46.184	20.100	20.043	21.000
47.221	20.000	20.043	21.000
48.323	20.100	20.048	21.000
49.397	20.000	20.042	21.000
50.429	19.900	20.035	21.000
51.506	20.000	20.033	21.000
52.591	20.000	20.032	21.000
53.623	19.900	20.027	21.000
54.750	20.000	20.025	21.000
55.782	19.900	20.015	21.000
56.880	20.000	20.012	21.000
57.912	19.900	20.008	21.000
58.969	20.000	20.003	21.000
60.069	20.000	19.997	21.000
61.107	19.800	19.993	21.000
62.209	19.800	19.987	21.000
63.291	19.800	19.978	21.000

# Log finished at: 10/21/13 18:21:00
############################ Log - End ############################

############################ Log - Start ############################
# Log initialized at: 10/22/13 10:05:22
Time	Real temperature	Average temperature	Setpoint temperature
0.000	20.100	20.100	20.000
1.127	19.900	20.000	20.000
2.190	19.700	19.875	20.000
3.303	19.900	19.867	20.000
4.334	20.000	19.900	20.000
5.409	20.000	19.920	20.000
6.455	20.000	19.927	20.000
7.611	19.900	19.921	20.000
8.649	20.100	19.933	20.000
9.698	20.100	19.953	20.000
10.779	19.900	19.947	20.000

# Log finished at: 10/22/13 10:05:33
############################ Log - End ############################

############################ Log - Start ############################
# Log initialized at: 10/22/13 10:09:38
Time	Real temperature	Average temperature	Setpoint temperature
0.000	20.100	20.100	20.000
1.050	20.200	20.150	20.000
2.211	20.200	20.175	20.000
3.296	20.200	20.183	20.000
4.379	20.000	20.150	20.000
5.448	20.200	20.160	20.000
6.482	20.200	20.167	20.000
7.651	20.000	20.150	20.000
8.684	20.100	20.147	20.000

# Log finished at: 10/22/13 10:09:48
############################ Log - End ############################

############################ Log - Start ############################
# Log initialized at: 10/22/13 10:10:57
Time	Real temperature	Average temperature	Setpoint temperature
